name,rarity,blueprintClass,critRatePercent,critDamagePercent,weakspotDamagePercent,itemId,href,imageSrc,imageAlt,rawText
R500 - Hammerhead Shark,Epic,Beyonder,4,25,65,13123396,https://wikily.gg/once-human/weapon-blueprints/13123396/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcHRfc3c1MDBfc3JfMDMud2VicA,R500 - Hammerhead Shark,"R500 - Hammerhead Shark
Epic
|
Beyonder
Crit Rate +4.0%
Crit DMG +25.0%
Weakspot DMG +65.0%"
Recurve Crossbow,Epic,Huntsman,2,28,70,13721301,https://wikily.gg/once-human/weapon-blueprints/13721301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9lcXVpcF9ibHVlcHJpbnRfc3JfY3Jvc3Nib3dfMDFfbmV3LndlYnA,Recurve Crossbow,"Recurve Crossbow
Epic
|
Huntsman
Crit Rate +2.0%
Crit DMG +28.0%
Weakspot DMG +70.0%"
SOCR Customize,Epic,Stranger,,,75,13412399,https://wikily.gg/once-human/weapon-blueprints/13412399/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc2Nhci53ZWJw,SOCR Customize,"SOCR Customize
Epic
|
Stranger
Weakspot DMG +75.0%"
SN700 - Gulped Lore,Epic,Stranger,2,24,90,13511301,https://wikily.gg/once-human/weapon-blueprints/13511301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbTcwMF9zcl8wMS53ZWJw,SN700 - Gulped Lore,"SN700 - Gulped Lore
Epic
|
Stranger
Crit Rate +2.0%
Crit DMG +24.0%
Weakspot DMG +90.0%"
SOCR - Outsider,Epic,Stranger,6,27,60,13412301,https://wikily.gg/once-human/weapon-blueprints/13412301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc2Nhcl9zcjAyLndlYnA,SOCR - Outsider,"SOCR - Outsider
Epic
|
Stranger
Crit Rate +6.0%
Crit DMG +27.0%
Weakspot DMG +60.0%"
Stun Baton,Epic,Operator,5,25,20,13920301,https://wikily.gg/once-human/weapon-blueprints/13920301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2Vfc3R1bl9iYXRvbi53ZWJw,Stun Baton,"Stun Baton
Epic
|
Operator
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
Warning Sign,Epic,Wanderer,5,25,20,13930301,https://wikily.gg/once-human/weapon-blueprints/13930301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfdGpqY193cC53ZWJw,Warning Sign,"Warning Sign
Epic
|
Wanderer
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
Baseball Bat,Rare,Wanderer,5,25,20,13930101,https://wikily.gg/once-human/weapon-blueprints/13930101/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfbV9iYXNlYmFsbGJhdC53ZWJw,Baseball Bat,"Baseball Bat
Rare
|
Wanderer
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
Camping Knife,Rare,Huntsman,5,25,20,13913101,https://wikily.gg/once-human/weapon-blueprints/13913101/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfbV9zdXJ2aXZhbGtuaWZlLndlYnA,Camping Knife,"Camping Knife
Rare
|
Huntsman
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
DBSG - Old Huntsman,Rare,Huntsman,10,30,25,13211201,https://wikily.gg/once-human/weapon-blueprints/13211201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfcm0xODg5X3JfMDEud2VicA,DBSG - Old Huntsman,"DBSG - Old Huntsman
Rare
|
Huntsman
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +25.0%"
HAMR - Crumble,Rare,Juggernaut,2,30,80,13531201,https://wikily.gg/once-human/weapon-blueprints/13531201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbTgyX3Iud2VicA,HAMR - Crumble,"HAMR - Crumble
Rare
|
Juggernaut
Crit Rate +2.0%
Crit DMG +30.0%
Weakspot DMG +80.0%"
KAM - Pioneer,Rare,Wanderer,6,30,55,13421201,https://wikily.gg/once-human/weapon-blueprints/13421201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfYWs0N19yMS53ZWJw,KAM - Pioneer,"KAM - Pioneer
Rare
|
Wanderer
Crit Rate +6.0%
Crit DMG +30.0%
Weakspot DMG +55.0%"
KVD - Icebreaker,Rare,Operator,10,30,40,13631201,https://wikily.gg/once-human/weapon-blueprints/13631201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcnBkX3Iud2VicA,KVD - Icebreaker,"KVD - Icebreaker
Rare
|
Operator
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +40.0%"
M416 - Scorched Earth,Rare,Juggernaut,6,27,60,13442101,https://wikily.gg/once-human/weapon-blueprints/13442101/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfaGs0MTZfcl8wMy53ZWJw,M416 - Scorched Earth,"M416 - Scorched Earth
Rare
|
Juggernaut
Crit Rate +6.0%
Crit DMG +27.0%
Weakspot DMG +60.0%"
MPS5 - Blue Tiger,Rare,Operator,8,30,55,13321201,https://wikily.gg/once-human/weapon-blueprints/13321201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc21nX21wNV9yXzAxLndlYnA,MPS5 - Blue Tiger,"MPS5 - Blue Tiger
Rare
|
Operator
Crit Rate +8.0%
Crit DMG +30.0%
Weakspot DMG +55.0%"
Military Dagger,Rare,Operator,5,25,20,13941101,https://wikily.gg/once-human/weapon-blueprints/13941101/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfbV9jb21iYXRrbmlmZS53ZWJw,Military Dagger,"Military Dagger
Rare
|
Operator
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
Military Shovel,Rare,Operator,5,25,20,13931201,https://wikily.gg/once-human/weapon-blueprints/13931201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfbV9zaG92ZWwud2VicA,Military Shovel,"Military Shovel
Rare
|
Operator
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
Northern Pike,Rare,Huntsman,5,25,20,13914101,https://wikily.gg/once-human/weapon-blueprints/13914101/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfZmlzaC53ZWJw,Northern Pike,"Northern Pike
Rare
|
Huntsman
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
R500 - Hunter,Rare,Wanderer,4,25,65,13121201,https://wikily.gg/once-human/weapon-blueprints/13121201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcHRfc3c1MDBfcl8wMS53ZWJw,R500 - Hunter,"R500 - Hunter
Rare
|
Wanderer
Crit Rate +4.0%
Crit DMG +25.0%
Weakspot DMG +65.0%"
R500 - Hunter 500/R500 - Hunter,Rare,Wanderer,,,65,13121291,https://wikily.gg/once-human/weapon-blueprints/13121291/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfcHRfc3c1MDBfcl8wMS53ZWJw,R500 - Hunter 500/R500 - Hunter,"R500 - Hunter 500/R500 - Hunter
Rare
|
Wanderer
Weakspot DMG +65.0%"
RPG7 Rocket Launcher,Rare,Operator,3,25,25,13810301,https://wikily.gg/once-human/weapon-blueprints/13810301/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2JnX3JvY2tldF9sYXVuY2hlcl8wMi53ZWJw,RPG7 Rocket Launcher,"RPG7 Rocket Launcher
Rare
|
Operator
Crit Rate +3.0%
Crit DMG +25.0%
Weakspot DMG +25.0%"
Recurve Bow,Rare,Huntsman,2,30,80,13741201,https://wikily.gg/once-human/weapon-blueprints/13741201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfbG9uZ2Jvdy53ZWJw,Recurve Bow,"Recurve Bow
Rare
|
Huntsman
Crit Rate +2.0%
Crit DMG +30.0%
Weakspot DMG +80.0%"
Rusted Blade,Rare,Huntsman,5,25,20,13911201,https://wikily.gg/once-human/weapon-blueprints/13911201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2VfbV9idXRjaGVya25pZmUud2VicA,Rusted Blade,"Rusted Blade
Rare
|
Huntsman
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
S870 - Sandstorm,Rare,Huntsman,10,30,25,13241201,https://wikily.gg/once-human/weapon-blueprints/13241201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfYXJfc2dfbTg3MF9yXzAxLndlYnA,S870 - Sandstorm,"S870 - Sandstorm
Rare
|
Huntsman
Crit Rate +10.0%
Crit DMG +30.0%
Weakspot DMG +25.0%"
S870 Customize,Rare,Huntsman,,,40,13241299,https://wikily.gg/once-human/weapon-blueprints/13241299/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl92NF9ibHVlcHJpbnRfc2dfbTg3MC53ZWJw,S870 Customize,"S870 Customize
Rare
|
Huntsman
Weakspot DMG +40.0%"
Wrench,Rare,Wanderer,5,25,20,13930201,https://wikily.gg/once-human/weapon-blueprints/13930201/,https://img.wikily.gg/unsafe/w:992/aHR0cHM6Ly9yMi53aWtpbHkuZ2cvaW1hZ2VzL29uY2UtaHVtYW4vaWNvbnMvaWNvbl9ibHVlcHJpbnRfY2xvc2Vfc3Bhbm5lci53ZWJw,Wrench,"Wrench
Rare
|
Wanderer
Crit Rate +5.0%
Crit DMG +25.0%
Weakspot DMG +20.0%"
